# 242Pu total cross section. 
# Source: ENDF/B-VIII.0

# E / MeV	CS / barn
4.78E+00	15.9288
4.79E+00	15.9156
4.79E+00	15.9101
4.86E+00	15.6674
4.89E+00	15.5664
4.92E+00	15.4339
4.99E+00	15.2243
4.99E+00	15.209
5.06E+00	14.9965
5.06E+00	14.9924
5.10E+00	14.912
5.14E+00	14.8066
5.20E+00	14.6394
5.21E+00	14.6272
5.28E+00	14.4535
5.31E+00	14.3807
5.36E+00	14.285
5.39E+00	14.2064
5.43E+00	14.1415
5.43E+00	14.1317
5.51E+00	13.9927
5.58E+00	13.8667
5.59E+00	13.8574
5.67E+00	13.7257
5.74E+00	13.6057
5.75E+00	13.5969
5.78E+00	13.5366
5.83E+00	13.4799
5.90E+00	13.381
5.91E+00	13.3738
5.99E+00	13.2701
6.07E+00	13.1754
6.08E+00	13.1685
6.16E+00	13.0687
6.24E+00	12.9773
6.25E+00	12.9727
6.25E+00	12.9709
6.34E+00	12.8893
6.42E+00	12.8152
6.47E+00	12.7694
6.61E+00	12.6527
6.65E+00	12.6198
6.75E+00	12.538
6.84E+00	12.4648
6.89E+00	12.4365
6.89E+00	12.4323
6.99E+00	12.3713
7.13E+00	12.2852
7.14E+00	12.2811
7.29E+00	12.1925
7.39E+00	12.1382
7.44E+00	12.1048
7.60E+00	12.0194
7.60E+00	12.0183
7.65E+00	11.9984
7.76E+00	11.9488
7.92E+00	11.8834
7.93E+00	11.8803
8.10E+00	11.8122
8.20E+00	11.7703
8.27E+00	11.7447
8.45E+00	11.6773
8.50E+00	11.6582
8.56E+00	11.6337
8.62E+00	11.6151
8.80E+00	11.5646
8.81E+00	11.5622
8.99E+00	11.5096
9.11E+00	11.477
9.19E+00	11.457
9.38E+00	11.4045
9.44E+00	11.3895
9.58E+00	11.352
9.77E+00	11.3018
9.78E+00	11.2994
9.85E+00	11.2825
9.99E+00	11.2543
1.01E+01	11.2289
1.03E+01	11.1993
1.05E+01	11.1599
1.05E+01	11.158
1.07E+01	11.1165
1.09E+01	11.0907
1.09E+01	11.0749
1.12E+01	11.033
1.12E+01	11.0211
1.14E+01	10.9911
1.16E+01	10.9508
1.17E+01	10.9489
1.17E+01	10.9355
1.19E+01	10.909
1.21E+01	10.8831
1.21E+01	10.8719
1.22E+01	10.8573
1.24E+01	10.8317
1.26E+01	10.8081
1.26E+01	10.8064
1.27E+01	10.7871
1.29E+01	10.7689
1.30E+01	10.7514
1.31E+01	10.7402
1.31E+01	10.737
1.32E+01	10.7296
1.33E+01	10.7198
1.33E+01	10.7131
1.34E+01	10.707
1.35E+01	10.702
1.35E+01	10.6993
1.36E+01	10.6972
1.36E+01	10.6969
1.36E+01	10.6923
1.36E+01	10.6921
1.37E+01	10.6871
1.37E+01	10.6839
1.37E+01	10.6815
1.38E+01	10.6801
1.38E+01	10.6798
1.39E+01	10.6809
1.39E+01	10.6825
1.39E+01	10.685
1.39E+01	10.6883
1.40E+01	10.6927
1.40E+01	10.6984
1.40E+01	10.7056
1.40E+01	10.7144
1.40E+01	10.7146
1.40E+01	10.7179
1.41E+01	10.7227
1.41E+01	10.7289
1.41E+01	10.7378
1.41E+01	10.7498
1.41E+01	10.7596
1.41E+01	10.7711
1.42E+01	10.7844
1.42E+01	10.7999
1.42E+01	10.8124
1.42E+01	10.8178
1.42E+01	10.8364
1.42E+01	10.8551
1.42E+01	10.8761
1.42E+01	10.888
1.42E+01	10.8972
1.42E+01	10.9187
1.43E+01	10.9437
1.43E+01	10.9729
1.43E+01	11.0068
1.43E+01	11.041
1.43E+01	11.0744
1.43E+01	11.1119
1.43E+01	11.1543
1.43E+01	11.2024
1.43E+01	11.248
1.43E+01	11.2559
1.43E+01	11.2968
1.43E+01	11.3427
1.43E+01	11.3948
1.43E+01	11.4436
1.44E+01	11.5097
1.44E+01	11.5857
1.44E+01	11.6505
1.44E+01	11.7231
1.44E+01	11.8049
